STT,Ma So,Ho va ten,Gioi tinh,Ngay sinh,So CMND
1,22120034,Nguyen Van A,Nam,22/02/2004,435435435435
2,22120098,Nguyen Van A,Nam,20/07/2004,543543534
3,22120450,Tran An,Nam,29/12/2002,432432498
4,22120451,Nguyen Tran Duong,Nu,09/02/2000,12324343
5,22120452,Nguyen Thi Duyen,Nam,08/02/2002,454435435
6,22120453,Nguyen Van Duong,Nam,06/02/2004,657655
7,22120454,Tran Anh Duy,Nam,05/09/2004,65654665
8,22120456,Nguyen Thi Giang,Nu,23/09/2004,5443343546
9,22120460,Nguyen My Linh,Nu,12/09/2004,0434545435
10,22120462,Le Duong Liem,Nam,23/04/2004,04354352421
11,22120463,Doan Thi Lien,Nu,21/05/2004,04332423
12,22120464,Le Thanh Minh,Nam,22/03/2004,043454634
13,22120465,Chung Nien,Nam,02/18/2004,043325324
14,22120468,Tran Anh Phong,Nam,02/03/2004,043343253
15,22120469,Le Anh Sang,Nam,09/02/2004,0432354354
16,22120470,Nguyen Minh Truc,Nam,22/04/2004,04334354
17,22120472,Tran Minh Trien,Nam,25/10/2004,0432343
18,22120473,Ho Thi Trang,Nu,14/03/2004,043343243
19,22120475,Doan Van Thien,Nam,03/02/2004,04334324
20,22120476,Nguyen Van Yen ,Nam,02/05/2004,0433432432
21,22120477,Ha Thi Yen,Nu,24/04/2004,0433432534
