STT,Ma So,Ho va ten,Gioi tinh,Ngay sinh,So CMND,Diem QT,Diem GK,Diem CK,Diem TB
1,22170012,Tran Anh,Nam,12/2/2004,43324324,9,10,9,10
2,22170013,Le Thanh Bien,Nam,22/12/2004,433243243,6,7,5,3
3,22170014,Tran Minh Duy,Nam,24/09/2004,42654242,5,6,7,10
4,22170015,Le Minh Duy,Nam,16/24/2004,434363666,10,8,8,6
5,22170016,Doan Duong,Nam,25/02/2004,439454364,3,4,5,3
6,22170017,Ha Duong Hao,Nam,12/10/2004,435487215,5,4,5,3
7,22170018,Tran Hieu,Nam,2/8/2004,434353467,9,7,8,6
8,22170019,Ho Thanh Khang,Nam,6/12/2004,43436352,7,10,10,9
9,22170020,Nguyen Minh Liem,Nam,23/02/2004,43435636,7,8,5,3
10,22170021,Tran khanh Liem,Nam,22/04/2004,43803254,6,3,6,5
11,22170022,Nguyen Thi Lan,Nam,24/09/2004,433463241,4,4,6,6
12,22170025,Ho Ba Linh,Nam,18/06/2004,434680743,2,5,6,7
13,22170028,Nguyen Minh Quoc,Nam,6/10/2004,43454351,4,10,8,9
14,22170029,Le Thanh Sang,Nam,2/1/2004,433432554,5,6,8,4
15,22170030,Tran Thi Truc,Nam,22/04/2004,43345324,3,6,10,9
16,22170031,Nguyen Duong Trien,Nam,13/06/2004,4334254,7,9,10,9.7
17,22170032,Ngo Ba Thien,Nam,23/07/2004,43324324,7.8,8.4,6.3,10
18,22170033,Ho Thi Vy,Nam,11/3/2004,433542145,7,9.5,7,5
19,22120078,Nguyen Van A,Nam,31/07/2004,43434343242,6,7,8,9
