STT,Ma So,Ho va ten,Gioi tinh,Ngay sinh,So CMND,Diem QT,Diem GK,Diem CK,Diem TB
1,22120450,Tran An,Nam,29/12/2002,432432498,6,10,4,5
2,22120451,Nguyen Tran Duong,Nu,9/2/2000,12324343,9,9,5,10
3,22120452,Nguyen Thi Duyen,Nam,8/2/2002,454435435,6,6,9,8
4,22120453,Nguyen Van Duong,Nam,6/2/2004,657655,4,6,7,4
5,22120454,Tran Anh Duy,Nam,5/9/2004,65654665,5,5,5,5
6,22120456,Nguyen Thi Giang,Nu,23/09/2004,5443343546,9,10,8,8
7,22120457,Ho Thanh D,Nam,3/7/2004,343434443,8.6,8.4,4.6,6.4
8,22120458,Nguyen Anh Hoang,Nam,20/02/2004,34332655,6.8,9,8.7,5.4
9,22120459,Nguyen Hoang Hai,Nam,2/12/2004,5465654,5,7,7.8,7
10,22120460,Nguyen My Linh,Nu,12/9/2004,434545435,8,8,8,6
11,22120462,Le Duong Liem,Nam,23/04/2004,4354352421,7,8,9,8
12,22120463,Doan Thi Lien,Nu,21/05/2004,4332423,9,7,7.8,9
13,22120464,Le Thanh Minh,Nam,22/03/2004,43454634,9,10,7,8
14,22120465,Chung Nien,Nam,2/18/2004,43325324,7,8,9,9
15,22120468,Tran Anh Phong,Nam,2/3/2004,43343253,8,8.8,8.9,9
16,22120469,Le Anh Sang,Nam,9/2/2004,432354354,8.9,9.8,7,8.8
17,22120470,Nguyen Minh Truc,Nam,22/04/2004,4334354,9.4,8,8.8,9.7
18,22120472,Tran Minh Trien,Nam,25/10/2004,432343,5.4,6.4,6.3,7.3
19,22120473,Ho Thi Trang,Nu,14/03/2004,43343243,7.8,8.5,9.3,9.3
20,22120475,Doan Van Thien,Nam,3/2/2004,4334324,4.4,7,5,5
21,22120476,Nguyen Van Yen ,Nam,2/5/2004,433432432,7,4.2,5,5.5
22,22120477,Ha Thi Yen,Nu,24/04/2004,433432534,4,5,7,6.5
